SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.24193548387096775, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.001}: 0.25806451612903225, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.01}: 0.33064516129032256, 0.384
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.1}: 0.31451612903225806, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.25, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.3387096774193548, 0.384
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.22580645161290322, 0.24
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.25, 0.248
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.28225806451612906, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.20161290322580644, 0.192
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.001}: 0.22580645161290322, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.01}: 0.28225806451612906, 0.36
